"SERIALNO","SPORDER","PWGTP","WGTP","AGEP","SEX","ESR","MAR","DIS","Boro","HousingStatus","EducAttain","PreTaxIncome_PU","WAGP_adj","INTP_adj","SEMP_adj","SSP_adj","SSIP_adj","RETP_adj","MRGP_adj","RNTP_adj","NYCgov_MOOP","NYCgov_MedSpending","NYCgov_MedPremiums","NYCgov_HEAP","NYCgov_WIC","NYCgov_SNAP","NYCgov_SchoolLunch","NYCgov_SchoolBreakfast","NYCgov_Nutrition","Off_Threshold","Off_Pov_Stat","NYCgov_Threshold","NYCgov_Pov_Stat","NYCgov_PovGapIndex","NYCgov_PovGap"
39,1,53,52,51,1,6,5,1,2,6,3,15416.0964,0,0,0,8766.0156,6650.0808,0,0,453.4146,8.303041,8.303041,0,35,0,2282,0,0,2282,12486,2,15017.1298261508,2,0,0
55,2,32,30,52,2,1,1,2,5,9,2,182373.428,30227.64,0,0,0,0,0,1511.382,0,2423.491,534.5082,1888.983,0,0,0,0,0,0,29854,2,46330.3881179886,2,0,0
69,1,192,192,39,1,1,5,2,4,6,3,80607.04,80607.04,0,0,0,0,0,0,1108.3468,728.789,335.2353,393.5537,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
210,1,37,38,26,2,1,5,2,3,4,4,130986.44,80607.04,50379.4,0,0,0,0,0,1914.4172,2644.518,49.81824,2594.7,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
261,5,83,150,1,2,NA,5,2,5,9,NA,161214.08,0,0,0,0,0,0,3022.764,0,12629.92,1889.98,10739.94,0,0,0,1170.4,0,1170.4,28643,2,36093.9627996357,2,0,0
283,1,48,49,31,1,1,5,2,2,6,4,109827.092,39295.932,0,0,0,0,0,0,1410.6232,2266.73,336.2732,1930.457,0,0,0,0,0,0,16072,2,21174.1530548727,2,0,0
365,1,77,77,28,1,6,5,2,4,4,2,15416.0964,0,0,0,0,0,0,0,1007.588,1361.844,4.15152,1357.692,35,0,4344,0,0,4344,16072,1,21174.1530548727,1,0.126470267772675,2677.90087890625
383,1,346,346,51,1,1,5,2,1,6,4,44333.872,44333.872,0,0,0,0,0,0,1511.382,3388.679,1146.858,2241.821,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
440,1,48,48,72,2,6,5,1,2,4,4,85544.2212,18136.584,15113.82,0,24182.112,0,28111.7052,0,1209.1056,3282.607,606.1219,2676.485,0,0,0,0,0,0,11511,2,15017.1298261508,2,0,0
532,1,40,39,65,1,1,1,1,4,4,4,75569.1,75569.1,0,0,0,0,0,0,1511.382,108.8736,0,108.8736,0,0,0,0,0,0,11511,2,15017.1298261508,2,0,0
567,2,46,37,5,1,NA,5,2,4,8,1,57734.7924,0,0,0,0,0,0,0,0,3318.103,1699.01,1619.093,0,0,0,585.2,0,585.2,16543,2,22660.9278954915,2,0,0
573,2,94,74,63,2,6,2,1,2,8,2,20957.8304,0,0,0,19547.2072,0,0,0,0,7150.786,3353.391,3797.395,0,0,0,0,0,0,14507,2,21174.1530548727,1,0.05352346971631,1133.31408691406
